Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",1,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2023/07/17,2023/07/17,2023,2023 (#2),read,no way the avg rating is this high did we read the same book,,,1,0
54958703,Blossom (The Wolf's Den Anthology),Kate Winborne,"Winborne, Kate",,"=""1797437143""","=""9781797437149""",0,3.79,Independently published,Paperback,417,2020,,,2023/07/15,to-read,to-read (#265),to-read,,,,0,0
25561888,"The Decagon House Murders (House Murders, #1)",Yukito Ayatsuji,"Ayatsuji, Yukito","Ho-Ling Wong, Sōji Shimada","=""1508503737""","=""9781508503736""",0,3.78,Locked Room International,Paperback,228,2015,1987,,2023/07/11,to-read,to-read (#264),to-read,,,,0,0
62562898,"The Isles of the Gods (The Isles of the Gods, #1)",Amie Kaufman,"Kaufman, Amie",,"=""0593479289""","=""9780593479285""",0,3.88,Knopf Books for Young Readers,Hardcover,464,2023,2023,,2023/06/26,to-read,to-read (#263),to-read,,,,0,0
61343296,Dear Dolly,Dolly Alderton,"Alderton, Dolly",,"=""0241623642""","=""9780241623640""",0,3.79,Fig Tree,Hardcover,224,2022,2022,,2023/06/23,to-read,to-read (#262),to-read,,,,0,0
45874065,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1984896369""","=""9781984896360""",4,4.29,Delacorte Press,Hardcover,390,2020,2019,2023/06/13,2021/09/17,2023,2023 (#1),read,3.5 rounded up for sal,,,1,0
55256435,"The Descent of the Drowned (The Descent of the Drowned, #1)",Ana Lal Din,"Din, Ana Lal",,"=""183804650X""","=""9781838046507""",4,3.84,White Tigress Press,Hardcover,360,2021,2021,2021/01/01,2021/05/02,2021,2021 (#32),read,,,,1,0
61361681,Clytemnestra,Costanza Casati,"Casati, Costanza",,"=""1728268230""","=""9781728268231""",0,4.22,Sourcebooks Landmark,Hardcover,435,2023,2023,,2023/06/18,to-read,to-read (#261),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",5,4.17,Harper Voyager,Kindle Edition,545,2018,2018,2020/01/01,2020/12/24,favorites,favorites (#7),read,Dead,,,1,0
18218630,A Girl Is a Half-Formed Thing,Eimear McBride,"McBride, Eimear",,"=""0957185324""","=""9780957185326""",0,3.48,Galley Beggar Press,Paperback,205,2013,2013,,2023/04/30,to-read,to-read (#260),to-read,,,,0,0
60759266,This Time It's Real,Ann Liang,"Liang, Ann",,"=""1338827111""","=""9781338827118""",0,4.02,Scholastic Press,Hardcover,352,2023,2023,,2023/02/14,to-read,to-read (#259),to-read,,,,0,0
55710822,"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,"Painter, Lynn",,"=""1534467629""","=""9781534467620""",0,4.26,Simon & Schuster Books for Young Readers,Hardcover,356,2021,2021,,2023/02/02,to-read,to-read (#258),to-read,,,,0,0
