Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25253481,"The Marriage Contract (The O'Malleys, #1)",Katee Robert,"Robert, Katee",,"=""""","=""""",0,3.56,Forever,ebook,338,2015,2015,,2023/03/29,to-read,to-read (#30),to-read,,,,0,0
62348154,"Brutal Prince (Brutal Birthright, #1)",Sophie Lark,"Lark, Sophie",,"=""""","=""""",0,3.74,,ebook,376,2022,2020,,2023/03/29,to-read,to-read (#29),to-read,,,,0,0
53012645,White Whiskey Bargain,Jodie Slaughter,"Slaughter, Jodie",,"=""1733426566""","=""9781733426565""",0,3.50,ZachEvans Creative LLC,Paperback,258,2019,2019,,2023/03/29,to-read,to-read (#28),to-read,,,,0,0
48662527,"Beautifully Cruel (Beautifully Cruel, #1)",J.T. Geissinger,"Geissinger, J.T.",,"=""""","=""""",0,4.13,"J.T. Geissinger, Inc.",Kindle Edition,336,2020,2020,,2023/03/29,to-read,to-read (#27),to-read,,,,0,0
48632163,The Italian,T.L. Swan,"Swan, T.L.",,"=""""","=""""",0,4.10,T L Swan,Kindle Edition,598,2019,2019,,2023/03/29,to-read,to-read (#26),to-read,,,,0,0
52226559,Sweet Temptation,Cora Reilly,"Reilly, Cora",,"=""""","=""""",0,3.97,,Kindle Edition,292,2020,2020,,2023/03/29,to-read,to-read (#25),to-read,,,,0,0
31309440,"Crow (Boston Underworld, #1)",A. Zavarelli,"Zavarelli, A.",,"=""""","=""""",0,4.00,,ebook,312,2016,2016,,2023/03/29,to-read,to-read (#24),to-read,,,,0,0
123192083,"Twisted Loyalties (The Camorra Chronicles, #1)",Cora Reilly,"Reilly, Cora",,"=""""","=""""",0,3.83,,Kindle Edition,329,2023,2018,,2023/03/29,to-read,to-read (#23),to-read,,,,0,0
43763,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,"=""0345476875""","=""9780345476876""",0,4.02,Ballantine Books,Paperback,346,2004,1976,,2023/01/30,to-read,to-read (#22),to-read,,,,0,0
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,"=""0679734775""","=""9780679734772""",0,3.69,Knopf Doubleday Publishing Group,Paperback,110,2009,1984,,2023/01/07,to-read,to-read (#21),to-read,,,,0,0
